ID,class,gender,race,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,Functional_analysis,from1,from2,from3,from4,y
1141,A,male,1,73.47,64,81,87,60,74,71,60,A,A,A,3,0
1142,A,female,1,71.22,57,50,51,51,55,62,61,B,A,A,2,0
1143,A,female,2,74.56,47,48,71,60,61,68,64,C,A,A,0,1
1144,A,female,1,72.89,46,72,38,60,29,54,51,D,A,A,0,0
1145,A,female,1,70.11,49,45,63,60,66,66,61,E,A,A,0,0
1146,A,male,3,65.04,60,60,39,61,65,74,60,F,B,C,0,0
1147,A,male,4,77.11,60,43,52,63,71,72,75,G,A,A,0,1
1148,A,female,5,64.75,60,38,60,63,70,68,51,H,B,C,0,0
1149,B,female,5,77.92,61,60,66,68,80,78,71,I,B,A,0,0
1150,A,female,5,76.5,60,61,60,69,73,60,62,H,B,A,0,0
1151,A,male,1,76.83,61,66,61,69,65,69,67,H,B,A,0,0
1152,B,female,1,83.65,73,75,76,71,85,74,89,J,B,A,2,0
1153,B,female,1,77,70,60,71,71,87,68,61,K,B,D,0,0
1154,A,male,1,80.08,67,65,74,73,87,68,76,E,B,A,0,2
1155,A,male,1,81.67,73,60,55,76,77,74,64,L,A,A,0,2
1156,B,female,6,82.07,72,63,70,76,81,86,73,E,B,A,0,2
1157,A,male,1,74.11,74,70,61,76,68,57,61,M,B,A,0,2
1158,A,male,1,81.5,68,67,55,76,85,75,87,B,A,A,0,0
1159,B,male,1,75.64,60,68,54,76,76,76,64,N,B,A,0,0
1160,A,male,7,76.46,67,73,64,78,83,76,64,O,B,B,0,2
1161,B,male,1,75.57,63,64,71,78,69,76,62,I,B,A,0,2
1162,B,male,1,83.13,82,82,92,78,92,83,78,N,B,A,2,0
1163,B,female,1,79.7,72,68,55,78,77,68,71,B,B,D,2,0
1164,A,female,1,83.98,71,73,83,79,88,87,81,F,B,A,2,0
1165,A,male,3,79.56,64,62,76,80,81,80,74,F,B,C,0,0
1166,A,female,4,78.54,76,67,71,80,71,83,67,P,A,D,0,0
1167,B,female,1,77.76,67,46,71,80,82,69,64,P,B,A,2,0
1168,A,female,1,83.06,68,72,71,81,86,81,70,F,B,A,2,0
1169,A,male,1,84.04,73,80,85,83,79,73,62,Q,B,S,0,0
1170,A,female,1,85.29,77,64,64,83,95,80,88,R,A,A,0,2
1171,B,female,1,85.04,76,75,85,83,88,82,69,J,B,A,2,0
1172,A,male,3,87.04,87,98,93,83,95,87,79,B,B,B,0,0
1173,A,male,2,74.17,63,73,61,83,72,55,62,C,A,A,0,0
1174,A,male,7,82.71,82,90,90,83,77,79,70,Q,B,B,0,0
1175,A,female,1,81.29,67,62,85,83,82,83,64,D,A,A,0,0
1176,A,female,1,85.55,69,83,73,83,85,67,81,N,A,A,2,1
1177,A,female,1,86.43,85,83,88,85,85,92,85,P,B,A,0,0
1178,A,female,1,85.11,73,61,80,85,90,79,82,S,A,A,0,0
1179,B,female,1,81.3,72,76,85,85,91,71,79,P,B,A,0,0
1180,A,female,1,84.01,80,75,83,85,86,87,81,K,B,A,0,1
1181,B,male,1,83.19,62,73,76,85,79,74,67,B,B,A,2,0
1182,B,female,1,90.66,88,78,95,85,97,97,99,B,B,A,0,1
1183,A,female,1,83.94,74,81,87,86,82,80,73,U,A,A,0,1
1184,A,female,7,81.07,64,55,71,86,67,72,73,G,A,A,0,0
1185,B,female,1,81.61,84,62,80,86,78,84,73,B,B,A,0,0
1186,A,female,1,87.85,80,78,90,87,90,87,91,V,A,A,2,1
1187,A,female,4,80.6,60,60,73,87,82,74,64,T,A,D,2,1
1188,A,male,5,74.43,66,80,83,87,79,69,60,H,B,C,2,0
1189,A,female,1,83.15,68,80,92,87,80,83,64,B,A,A,2,0
1190,A,female,1,82.55,67,71,80,87,87,83,67,Z,B,A,0,2
1191,A,male,1,79,82,72,77,87,82,92,71,S,B,A,0,1
1192,B,female,1,84.45,76,61,77,87,90,91,76,A,B,A,2,0
1193,B,female,1,85.02,70,71,83,87,90,80,76,B,B,D,2,0
1194,A,female,1,77.53,76,53,55,87,82,80,63,E,B,A,0,0
1195,A,female,1,78.08,65,60,75,88,78,78,61,J,B,A,0,2
1196,A,female,1,87.44,87,75,91,88,95,89,94,A,A,A,2,0
1197,A,female,7,81.71,69,68,78,88,78,74,78,O,A,A,0,0
1198,B,female,1,85.72,75,80,64,88,86,86,69,E,B,A,0,1
1199,B,female,3,88.35,93,71,85,88,91,92,86,U,B,A,0,1
1200,B,male,4,79.34,62,75,80,89,75,63,74,I,B,A,0,0
1201,A,female,1,84.7,62,66,93,89,84,79,81,W,A,A,0,0
1202,A,male,3,78.39,66,60,66,89,76,75,78,P,B,B,0,2
1203,B,female,1,77.53,72,71,71,89,82,66,60,X,B,D,0,0
1204,B,female,1,81.03,73,53,88,89,81,78,68,K,B,D,0,0
1205,A,female,1,83.79,81,71,68,90,79,86,73,N,A,A,0,2
1206,A,male,1,86.37,95,76,87,90,86,94,84,E,B,A,0,0
1207,B,female,1,87.3,81,80,83,90,94,95,78,K,B,A,0,2
1208,A,female,1,84.41,82,77,86,91,75,72,85,P,B,A,0,0
1209,A,female,1,93.06,82,90,93,91,93,99,94,M,B,S,0,0
1210,A,female,1,87.3,76,88,80,91,89,75,78,R,A,A,0,2
1211,B,female,1,87.42,85,75,92,91,92,75,78,K,B,A,0,2
1212,A,female,1,84.33,88,72,85,92,94,87,60,M,B,A,2,1
1213,A,male,1,89.41,90,87,83,92,97,87,70,Y,B,D,0,0
1214,A,female,1,84.11,79,48,85,92,85,88,84,X,A,A,0,2
1215,A,female,1,87.26,80,78,87,92,95,92,94,E,A,A,0,1
1216,A,female,1,91.9,95,86,96,92,95,90,95,Z,B,A,2,1
1217,A,female,1,87.77,91,68,87,92,92,90,77,V,A,A,0,1
1218,A,female,1,84.68,73,73,94,92,92,81,74,X,A,A,2,1
1219,A,male,1,63.49,81,61,17,92,88,69,9,T,B,D,2,0
1220,A,female,3,89.95,87,87,92,92,90,92,84,P,B,A,2,1
1221,A,female,1,85.18,75,70,73,92,84,76,88,X,A,A,2,0
1222,B,female,6,85.84,82,77,86,92,90,80,86,X,B,D,0,2
1223,B,male,1,84.18,84,67,94,92,82,83,85,U,B,A,0,1
1224,A,female,1,85,76,75,83,93,85,75,89,W,A,A,0,2
1225,A,female,1,90.62,94,81,90,93,91,86,94,S,A,A,0,1
1226,B,female,1,87.12,92,73,87,94,94,96,89,U,B,A,2,0
1227,A,female,1,84.63,83,87,88,94,79,87,76,X,B,A,0,0
1228,A,female,1,88.62,95,65,97,94,97,85,85,X,B,S,0,2
1229,A,female,1,87.87,84,86,94,94,94,95,80,E,B,S,0,1
1230,A,male,7,86.01,77,60,78,94,88,90,93,O,A,A,0,2
1231,A,male,1,89.46,87,92,81,95,89,92,86,E,B,A,0,2
1232,A,female,1,86.96,92,86,94,95,95,94,84,M,B,A,0,1
1233,A,male,1,86.87,82,77,85,95,94,90,80,N,B,A,0,0
1234,A,female,1,91.61,93,82,95,95,94,100,93,Y,B,S,0,1
1235,A,female,1,88.54,89,86,96,96,96,87,81,AA,B,A,0,0
1236,A,female,1,87.63,82,81,97,97,88,91,68,J,B,A,2,0
1237,A,male,2,91.74,94,100,96,97,95,94,93,C,B,S,0,2
1238,A,male,1,91.14,98,90,98,97,83,93,89,AA,B,A,0,1
1239,A,male,1,90.31,84,82,99,97,89,96,85,P,B,A,0,2
1240,B,male,1,88.1,87,70,95,97,91,93,82,AB,B,A,0,0
1241,A,female,1,88.34,87,83,92,98,93,86,90,M,B,A,0,1
1242,B,male,1,89.84,98,77,95,98,96,88,100,A,B,A,0,1
1243,B,male,1,88.82,83,80,91,98,93,95,71,T,B,A,0,2
1244,A,male,1,86.6,92,82,91,99,94,82,78,S,B,A,0,2
1245,A,male,1,93.71,93,97,99,100,97,90,90,K,B,A,0,2